Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Europe,France,Electronics,Online,Medium,2023-03-28,1,2023-04-14,395,4.60,2.90,6.70,1.50,39.40
Australia,Brazil,Electronics,Offline,High,2022-08-07,2,2023-04-13,847,2.90,1.00,20.00,3.80,43.00
Europe,Canada,Sports,Online,Medium,2023-04-04,3,2023-04-15,994,6.40,3.60,15.70,19.70,35.50
Europe,India,Food,Offline,Low,2022-05-13,4,2023-04-13,116,0.60,2.90,50.70,32.90,34.40
South America,Brazil,Clothing,Offline,Medium,2022-11-15,5,2023-04-13,912,1.80,1.70,75.20,15.20,20.30
Asia,Brazil,Sports,Online,Medium,2023-01-24,6,2023-04-15,203,4.00,3.70,90.70,39.80,25.00
Australia,Japan,Toys,Offline,Medium,2022-04-12,7,2023-04-10,130,7.40,1.00,90.70,44.90,33.20
Australia,Mexico,Clothing,Offline,Low,2022-05-14,8,2023-04-13,786,8.70,4.60,25.70,12.50,34.40
North America,UK,Sports,Online,High,2022-12-15,9,2023-04-14,621,0.30,4.70,67.50,16.30,18.70
Asia,Germany,Furniture,Offline,Medium,2023-01-07,10,2023-04-15,937,5.40,0.50,82.80,43.10,30.80
Europe,UK,Food,Offline,Low,2023-01-10,11,2023-04-12,938,9.80,4.50,48.40,42.60,11.80
North America,Canada,Furniture,Online,Medium,2023-03-30,12,2023-04-09,584,7.60,1.00,18.70,5.40,3.90
North America,Brazil,Electronics,Online,Low,2022-09-03,13,2023-04-13,504,4.50,4.10,23.80,23.00,37.40
Europe,Australia,Food,Offline,Low,2023-02-15,14,2023-04-10,586,6.50,4.50,75.00,38.00,43.10
Australia,USA,Electronics,Offline,High,2022-07-18,15,2023-04-09,509,0.50,3.80,98.50,6.90,34.60
Europe,France,Sports,Online,High,2022-07-29,16,2023-04-13,989,7.90,2.20,68.50,33.80,13.80
South America,Argentina,Furniture,Online,Low,2022-09-07,17,2023-04-15,169,4.10,2.30,23.60,6.00,13.80
North America,China,Sports,Online,High,2023-01-06,18,2023-04-15,350,3.80,2.60,69.00,43.00,3.30
Europe,Brazil,Sports,Offline,Medium,2023-03-12,19,2023-04-10,90,7.80,2.50,14.40,8.50,47.20
Europe,Australia,Furniture,Offline,Low,2022-08-30,20,2023-04-13,911,0.70,4.30,40.00,3.90,43.20
Europe,Brazil,Electronics,Offline,High,2022-08-15,21,2023-04-15,864,2.30,3.30,3.90,7.60,41.10
South America,UK,Toys,Offline,Low,2022-12-28,22,2023-04-09,421,0.40,1.20,95.40,47.10,21.50
Australia,Japan,Toys,Offline,Low,2022-05-31,23,2023-04-14,785,0.50,3.50,9.60,30.20,18.00
North America,Japan,Sports,Offline,High,2023-01-11,24,2023-04-15,689,3.90,4.00,30.00,14.10,10.30
South America,India,Furniture,Offline,Low,2022-06-28,25,2023-04-09,580,6.20,4.40,41.20,33.10,31.00
North America,China,Toys,Online,High,2022-06-17,26,2023-04-10,971,5.60,0.80,0.40,26.50,1.90
South America,Mexico,Electronics,Offline,High,2022-09-22,27,2023-04-11,393,6.10,0.70,34.90,31.00,40.40
Australia,Germany,Food,Offline,Low,2022-04-13,28,2023-04-12,833,0.30,0.80,49.10,45.60,34.70
Europe,Canada,Electronics,Online,Low,2022-07-21,29,2023-04-15,206,8.40,1.40,96.20,12.30,39.90
Europe,France,Food,Offline,Low,2023-01-24,30,2023-04-15,378,8.60,0.50,41.40,7.00,13.20
South America,Mexico,Toys,Offline,Low,2022-06-09,31,2023-04-09,387,9.70,0.80,89.50,12.90,15.10
Australia,China,Clothing,Offline,Low,2023-01-01,32,2023-04-10,911,8.90,0.40,32.20,42.70,43.30
South America,Australia,Electronics,Offline,Low,2022-04-18,33,2023-04-13,43,0.30,3.10,61.80,6.00,45.10
North America,Germany,Sports,Online,Medium,2023-01-09,34,2023-04-14,772,1.60,2.10,88.30,37.60,39.70
North America,Brazil,Electronics,Online,High,2022-10-30,35,2023-04-13,257,3.70,0.50,15.50,7.70,33.40
Asia,Germany,Furniture,Offline,Low,2022-08-18,36,2023-04-11,937,3.10,1.70,72.70,38.10,49.40
Europe,France,Toys,Online,High,2022-07-20,37,2023-04-14,491,9.90,0.20,50.80,9.50,13.30
South America,Japan,Furniture,Online,High,2022-11-24,38,2023-04-13,662,6.00,3.60,20.20,3.60,13.90
Europe,Mexico,Electronics,Online,High,2023-02-02,39,2023-04-14,426,8.00,1.80,59.40,35.90,14.60
Asia,India,Food,Offline,Low,2022-10-09,40,2023-04-14,739,1.20,3.10,12.10,15.20,10.90
